epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,19613.4,0.4869,0.24859,0.82864,0.96552,0.86175,0.93882,0.73238,0.50272,0.25718,0.85034,0.000599787,0.000599787,0.000599787
99,19778.1,0.47437,0.24078,0.82218,0.94178,0.88657,0.93489,0.73905,0.49417,0.25733,0.8474,0.000588784,0.000588784,0.000588784
100,19983.5,0.4823,0.24732,0.82653,0.90431,0.8928,0.93077,0.72032,0.51219,0.26129,0.85509,0.000577782,0.000577782,0.000577782
101,20153.7,0.48011,0.2444,0.82785,0.95239,0.88413,0.93771,0.7369,0.50614,0.25909,0.85965,0.00056678,0.00056678,0.00056678
102,20398.1,0.4779,0.24511,0.82549,0.95493,0.88163,0.93454,0.73189,0.49982,0.2586,0.85509,0.000555778,0.000555778,0.000555778
103,20598.2,0.47869,0.24238,0.82414,0.94986,0.88731,0.94283,0.74383,0.49956,0.25924,0.85449,0.000544776,0.000544776,0.000544776
104,20849.4,0.46457,0.24043,0.82533,0.9544,0.86961,0.93781,0.73404,0.50638,0.25634,0.85132,0.000533773,0.000533773,0.000533773
105,20956.5,0.47604,0.24177,0.82131,0.95512,0.89678,0.93989,0.73164,0.49831,0.25338,0.85326,0.000522771,0.000522771,0.000522771
106,21103.4,0.46564,0.23633,0.82447,0.95224,0.89474,0.94362,0.74255,0.49848,0.25136,0.85177,0.000511769,0.000511769,0.000511769
107,21264.6,0.46437,0.23556,0.82165,0.96016,0.89451,0.94312,0.73514,0.50531,0.2589,0.85519,0.000500767,0.000500767,0.000500767
108,21657.1,0.4651,0.23447,0.82291,0.96743,0.88438,0.94085,0.7393,0.50633,0.25233,0.85478,0.000489765,0.000489765,0.000489765
109,21878.7,0.45573,0.23279,0.81665,0.96017,0.87454,0.93823,0.72908,0.50888,0.25554,0.85455,0.000478762,0.000478762,0.000478762
110,22096.7,0.46326,0.23453,0.81763,0.96564,0.87666,0.94406,0.734,0.50835,0.25486,0.85384,0.00046776,0.00046776,0.00046776
111,22288.1,0.45454,0.23054,0.81735,0.93819,0.90452,0.93944,0.73445,0.50793,0.25398,0.85065,0.000456758,0.000456758,0.000456758
112,22440.9,0.44949,0.22871,0.81589,0.96342,0.88477,0.93987,0.72532,0.51393,0.25401,0.85673,0.000445756,0.000445756,0.000445756
